questions,classes
"举报文——举报文举报中国电信广东分公司现任总经理钟平是否？收受；巨额；贿赂；偏袒；保护；纵容；包庇；《中国电信四会分公司梁阳照副总经理》对抗和唯抗诈骗；广东省人民政府下达政令；贪污；挪用；劳动者；薪酬导致；；到现在至今2015年5月5月15日左右转送办理《黄伟雄同志中国电信广东分公司职位薪酬待遇》；由中国电信四会分公司和中国电信肇庆分公司相关领导办理；广东省人民政府和中国电信广东分公司下达政令《关于黄伟雄同志的职位薪酬待遇》上访事宜：仍然没有落实到黄伟雄同志本人身上？已经在2015年8月11日黄伟雄同志；到中国电信广东分公司在16：30分左右递交入职申请；广东省人民政府和中国电信广东分公司职位薪酬待遇；到现在至今；没有任何答复？〈1〉在2015年7月8日15：时30分左右；四会人力资源和社会保障局用电话3268885答复黄伟雄同志18929810163；中国电信四会分公司没有接收过；2015年5月5月15日左右转送办理广东省人民政府和中国电信广东分公司下达政令《关于黄伟雄同志的职位薪酬待遇》要求提供；广东省人民政府和中国电信广东分公司下达公函？有四人社监告字[2015]1号；时间2015年7月15日作证明？〈2〉在2015年7月10日左右时间；广东省人民政府和中国电信广东分公司再一次，转送确认《关于黄伟雄同志的职位薪酬待遇》上访事宜；要求中国电信四会分公司和中国电信肇庆分公司相关领导；落实解决办理《关于黄伟雄同志的职位薪酬待遇》2015年5月5月15日左右转送办理；广东省人民政府和中国电信广东分公司下达政令；完善黄伟雄同志入职申请手续。〈3〉2015年5月5月15日左右转送办理；广东省人民政府和中国电信广东分公司下达政令《关于黄伟雄同志的职位薪酬待遇》上访事宜：黄伟雄同志：有中华人民共和国人力资源和社会保障部（人社信（访）15-156号）《人力资源和社会保障部信访专用章》作证明。时间2015年7月17日；要求上级单位劳动保障监察部门和人力资源信访部门：落实解决办理《关于黄伟雄同志的职位薪酬待遇》2015年5月5月15日左右；由广东省人民政府和中国电信广东分公司下达政令；完善黄伟雄同志入职申请手续。〈4〉；到现在至今；中国电信四会分公司现任总经理赵凯；仍然存在；涉嫌诈骗；欺骗；上级领导；上级单位；下达政令；贪污；挪用；劳动者；薪酬？欺满上级领导；欺满上级单位；欺满上级领导；欺压下属；欺压劳动者？对抗和唯抗诈骗；广东省人民政府和中国电信广东分公司下达政令？仍然要求黄伟雄同志接收一份〈中电信四会[2015]62号）文件并没有,职位薪酬待遇；并没有将2015年5月5月15日；由广东省人民政府和中国电信广东分公司下达政令；中国电信四会分公司和中国电信肇庆分公司相关领导《关于黄伟雄同志的职位薪酬待遇》落实到黄伟雄同志本人身上。请中共中央纪委立案调查：1；中国电信四会分公司总经理赵凯和中国电信四会公司资深经理谢志明等相关领导：到现在至今；拒收；拒押；拒不执行;拒不办理;黄伟雄同志入职申请；进行敲诈勒索；黄伟雄同志中国电信广东分公司职位薪酬待遇？1；中国电信四会分公司总经理赵凯和中国电信肇庆分公司总经理叶燕南等相关领导：到现在至今；拒收；拒押；拒不执行;拒不办理;黄伟雄同志入职申请；进行敲诈勒索；黄伟雄同志中国电信广东分公司职位薪酬待遇？2；是否中国电信四会分公司现任总经理赵凯和中国电信四会分公司现任副总经理鲁汉勇等相关领导：到现在至今；拒收；拒押；拒不执行;拒不办理;黄伟雄同志入职申请；进行敲诈勒索；黄伟雄同志中国电信广东分公司职位薪酬待遇？4；是否中国电信四会分公司总经理赵凯和中国电信四会分公司现任副总经理鲁汉勇；涉嫌诈骗；上级领导；下达政令；贪污；挪用；劳动者；薪酬？欺满上级；欺压下属；欺压劳动者等行为？5；是否中国电信四会分公司总经理赵凯和中国电信四会分公司现任副总经理鲁汉勇和副总经理梁阳照；进行串谋诈骗；贪污；挪用；黄伟雄同志中国电信广东分公司下达到职位薪酬待遇？6；是否中国电信四会分公司总经理赵凯和国电信四会分公司现任副总经理鲁汉勇和副总经理梁阳照；进行内部卖官买官事情行为发生？7；是否中国电信四会分公司总经理赵凯和中国电信四会分公司现任副总经理鲁汉勇和副总经理梁阳照；诈骗上级单位；广东省人民政府和中国电信广东分公司下达政令；不将上级单位；下发劳动薪酬；落实到中国电信四会分公司全体员工身上；进行串谋诈骗；上级领导；上级单位；下达政令；贪污；挪用；劳动者；薪酬？欺满上级；欺压下属；欺压；劳动者拒不支付劳动报酬；；等行为？8；是否中国电信四会分公司总经理赵凯和中国电信四会分公司现任副总经理鲁汉勇；副总经理梁阳照；诈骗上级单位；进行欺满上级；欺压下属；欺压劳动者等事情行为发生？9；是否中国电信四会分公司总经理赵凯和中国电信四会分公司现任副总经理鲁汉勇；副总经理梁阳照；综合部经理彭朋亮；劳资主管谢煜辉；涉嫌诈骗；上级领导；下达政令；贪污；挪用；劳动者；薪酬？欺满上级；欺压下属；欺压劳动者？对抗和唯抗诈骗;广东省人民政府和中国电信广东分公司下达政令？拒收；拒押；拒不执行；拒不支付劳动报酬；拒不办理;黄伟雄同志入职申请否则中国电信广东分公司现任总经理钟平诈骗广大劳动者劳动合法权益？黄伟雄18929810163身证号码：441222196205120057信访网ZQS20150903059查8874",未知
维护合法劳动权益的法律依据——用人单位以自收自支无钱无收入为由多年拖欠和克扣在岗工人工资，职工维权法律依据有哪些,员工权益
怎么要工资——,维权方式
吉林造纸厂假“改制”、真贪污的真相！——吉林造纸厂假“改制”、真贪污的问题你们敢立案吗？,未知
吉林造纸厂假“改制”、真贪污的真相！——吉林造纸厂“改制重组”敢立案查吗？,未知
工资打欠条——你好！我在一个私人老板哪里工作，由于老板资金困难拖欠个人工资，欠了四万多了，由于无法承受压力所以有跟老板商量打了欠条。现在打了一张他亲笔签名没有按手印的欠条他反而一点都不着急把工资发给你了，这样拖下去我该怎么办？他已经严重的影响到我的生活状态了。崩溃，烦，心情差到了极点。因为这个跟家里吵架好多次了。,员工权益
工伤治疗无效死亡，是否可以认定为工亡。——2013年6月，陕西某县供电公司农合工张某（在该公司下设供电所从事抄、核电表、收取电费和线路维护工作）驾驶自家摩托车在收电费途中不慎跌入深沟受伤（急性重型颅脑损伤，急性闭合性胸部损伤），2013年9月出院，2014年2月张某申请工伤认定，2014年4月该县劳动局作出工伤认定决定书，决定认定为工伤，2014年6月该县供电公司不服该工伤认定向该县人民法院提起行政诉讼，该县人民法院判决维持改工伤认定决定书，该供电公司收到判决书后，上诉至中级人民法院，2015年3月，该中级人民法院驳回上诉，维持原判。2013年6月至2015年8月，张某先后住院6次206天，2015年8月3日，张某医治无效死亡，请问张某死亡情形是否可以认定为工亡？主张一次性工亡补助金？争议焦点：该地市、县劳动部门认为张某因工伤医治无效死亡时间超过两年不能确定为工亡，只能按照鉴定的四级工伤进行赔偿，家属方认为张某系工伤医治无效死亡，且该公司前期未垫付任何医疗费用，应确定为工亡，获得一次性工亡补助金。,工伤事故
"劳务派遣员工合同到期公司不再续签——2011年本人与A企业签署劳务派遣合同（3年）,A企业与某金融机构签署劳务外包合同，将员工派遣到该金融机构就职，期间经常拖欠工资，目前六月份的工资还没有发放，并于2015年3月至今无故降低工资，当时合同明确表明工资薪酬为基本工资+绩效，但一直没有发放过绩效，8月26日通知各员工九月底合同到期，要求各员工离开该金融机构，并通知不再签署该职位，承诺赔偿三个月的基本工资，但需要在10月份发放。目前我想咨询一下该企业无故降工资的问题，拖欠工资的问题，补偿问题和工资绩效发放",员工权益
到退休年龄了一直没办养老保险——我父亲九几年开始在上海某厂打工到现在，已经有二十多个年头了。由于那个时候对对劳动法不了解，一直没有签订用工合同，厂里也没给我父亲办过养老保险。现在我父亲已经到了法律退休年龄了，可以要求工厂办理退休金吗？如果厂里不给办理，该用什么方法来维权？,劳动保险
农民工讨薪——我们是有十六七个人的外地工程对，今年从三月到这会一直没发过工资，老板是通州永乐店的人，带这我们干了有十多家的民房，都已完工，给他要工资他不是说没有就是说东家没给他，我们也打听到这些钱有一多半都让他花了。我们该怎么办那，求回复,员工权益
未成年雇工盗我车开出车祸我要赔偿吗——我的雇工未满16岁他盗窃我的车在高速路上逆行不幸当场死亡。事故认定当事人付全责，他的家人向我索赔60多万。这个事件要不要赔。,工伤事故
强制压我劳工合同一个月——在职期间受到其上司威胁，强制加班，请假不批，最后给我旷工处理，还强制压我劳工合同一个月,员工权益
工作20年没买过保险没合同——我在九江酒厂工作了20年，酒厂从没帮我购买社保，医保，从没签过劳动合同。我和30个工友就去劳动仲裁，直到高级人民法院，都没一份经济保偿金，请问该如何解决？？,劳动保险
事业单位管理制度问题？——我的单位是森林消防队，是政府财政全额拨款公益事业单位，实行企业化管理，职工实行年薪制。今年全国都在为公务员，企事业单位，和退休人员涨工资！我们单位没有按国家政策为我们基层职工涨工资，请问：年薪制与国家涨工资的政策是否有冲突？单位不给民政部门安置的退伍军人计算工龄！是否合法？,员工权益
农网改造工伤未得赔偿——我是汨罗屈子祠镇楚塘村村民，现年61岁。于2001年上半年被农电站及村上调工参加农网改造，因施工工具缺乏安全保护措施而发生事故，导致一脊椎骨粉碎性骨折而丧失劳动力。当时用工方只负责了医药费，没有涉及任何赔偿，补偿。事故后因丧失劳动力生活举步维艰，多次找电力部门讨要说法无果。上诉无门加之生话拮据，无奈之下大概于2009年左右起就未交电费，至今电费已有万余元。现在电力部门非但不积极协商解决，还多次多人上门以断电抓人相威胁催讨电费，2015年8月24曰又再次上门催讨并指使派出所把我儿子抓走。请问专家我这个问题有什么方法解决么？邮箱572378957@qq.com,工伤事故
江苏集群拖欠工资、社保、公积金的劳动纠纷——诉求1：2014年8月至2015年7月，被申请人未发放上述期间的工资，根据《劳动合同法》第三十条，被申请人应予支付所欠工资：3500（月薪）*12（月数）=42000元。证据：有工资单及工资卡银行对账单。诉求2：2014年7月至2015年7月，被申请人应偿还拖欠员工社会保险金共计9766.45元。证据：（该部分已由个人自费补缴，有证据发票留存。）诉求3：2012年4月至2015年7月，被申请人从员工工资中扣除公积金费用，但未为员工缴纳公积金。要求偿还自2012.4-2015.7的住房公积金。证据：有工资单及工资卡银行对账单。诉求4：2015年7月，被申请人与申请人解除劳动合同。要求被申请人支付解除劳动合同的经济补偿金。证据：有解除劳动合同证明。诉求5：2015年7月，由于被申请人拖欠申请人的社会保险，致使申请人2015年7月22日住院无法享受医保政策。要求被申请人偿还申请人住院所产生的医药费及住院费。证据：医药费发票及清单、住院记录。请问需要如何通过法律手段进行维权。,辞退解雇
在个体工厂打工眼睛被木头砸瞎老板不全赔——我到三无个体厂打工，右眼被木头砸瞎，老板说我负一半责任，想按赔偿标准给一半赔偿金，我怎么办？,工伤事故
单位不遵守劳动合同我应该怎么办？——我是一家事业单位的护士，可是从今年的2月份就开始将上班时间由原来的一天8小时改为一天12小时，开始还有补休，没过多久就说护理部不同意这样上班就没有补休了，合同上规定一个星期上班时间不得超过40小时，每天工作时间不得超过8小时，可是到现在多上的时间也没有说法，我想请问，我应该怎样维护我的法律权利,员工权益
农民工养老保险——我是河北的2001年进的北京xx公司，公司2009年才给我交养老保险，到了2015年4月就到了60岁退休的年龄了。请问公司给我交够了养老保险了吗？我能领到养老保险金，在哪里领呢？,员工权益
工地休息时间意外死亡——我爸爸在工地宿舍夜间突发急性疾病意外死亡，不在工作时间，请问赔偿多少钱,工伤事故
违反和解除劳动合同的经济补偿办法——新劳动法实施后，1995年实行的（）还有效吗？我是一家企业的职工，劳务派遣工龄6年，正式合同工龄6年，正式合同已签订两次，2017年1月31号到期，本人于13年11月查出得了原发性肝癌，经手术治疗后休养到14年5月底，期间只发基本工资。14年6月份开始回单位上班，现因公司在分批及有选择性的裁员，请问袁律师：我这种情况在合同期未到期的时候解除劳动合同公司应该要支付工龄经济赔偿及患绝症的医疗补助费用的吧？那么合同期到期后按照劳动法公司有权不和我续签无固定期限合同的，到时候公司应该支付工龄赔偿，公司还应该支付医疗补助费用给我吗？盼回复，谢谢,劳动合同
劳动合同问题——您好，本人现在东莞一家电厂工作了5年多了，从事的是国家规定的就业准入（需取得职业资格证书）职业中的加工中心操作工，当初进厂时也是面试的这一固定岗位。最近工厂以生产需要为理由强行调动我们一部分人去培训学习另外的岗位，人事关系也从原岗位调动到了部门培训组。因为当初进厂时我们合同上统一写的是：技师岗位，从事技术工作。并没有明确到某一工种，所以工厂说他们的调动是合法的，不涉及到调岗，我们必须服从。期间还没有班加，工资少了一半。请问工厂的这种做法合法吗？关于合同上岗位的这种不明确模糊的描述能不能判定为无效？（注：工厂今年4月份跟一批技师协议解除了劳动合同，但后来对我们这些就有强行调岗达到令我们自动离职的嫌疑）,员工权益
调到分公司让我回续签合同往返算否因公外出——您好，我想寻求一下帮助，我的情况是这样的：我在一家私企工作，地址是沈阳，劳动合同上签的工作地点也是沈阳。今年5月份我被公司调到大连分公司工作。每月给800元驻外津贴，关于津贴的标准及内容每有任何标准和说法，只是单位单方面规定并发放到工资里，而且会被扣税。今天单位要求我去沈阳续签工作合同，我下周周一到周三往返并处理此事，并跟单位行政申请了因公外出及报销来回路费。但是行政给我的答复是，不能算因公外出，只能使用调休，也不能报销车票。我想咨询您，我为了签合同而往返的几天算不算因公外出？另外，外调给的驻外津贴在没有明文规定的情况下到底包括哪些内容，我往返的车票能不能报销？麻烦您啦，谢谢您！,员工权益
在青岛工厂打工出现工伤该谁负责——我是江苏人，去年在青岛工作，右手拇指手指盖手指肚全部掉了，我是跟一个老板去青岛厂子工作的，出了这是该谁负责,工伤事故
被一家皮包公司骗，工资讨要无果——我们现在决定报警，但是因为之前那个骗子诳我们做假账，说什么为我们考虑，让我们骗公司，在发票单上少开几张发票，多出来的发票上的钱，说不上交，最后公司查账让我们把那本假的发票单交上去，他把原来真的那本发票单给带走了，把少写的发票上的钱也带走了，说帮我们保管，也开了收据，这多出来的钱也在他那里，我们也没拿，但最后，公司也没来查账，那本假的发票单也没给任何人看，我们就结束了工作，那本开的少写的发票本也被扔了，我们担心如果报警的话，他让我们做假账的事，会不会影响到我们？告诉他我们要报警，他还说要起诉我们？我们还是学生，现在怕档案会受到影响，那个骗子就是公司的头，我们档案会受到影响吗？求律师详细解答。,未知
公司乱调班员工意见很大特想咨询一下法律——譬如星期一是正班但由于领导们都要去旅游，但订单交期急，公司把星期一与星期六对调。这样星期六算正班。这样有没违反法律的相关规定？,员工权益
公司单方面开除——因本人为品质组长，因工作上签品质异常单问题，生产组长对本人出口不逊，第二天双方经协调过错方己向本人道歉，在此之后本人一同事来车间找到过错方，让其以后注意点，过错方领导上报为言语威胁，同时此事第二天因为言语事件双方己自行处理好。而公司人资吴副理却不同意私了，刚开始说要我们自己辞职，我们不同意，现在又说影响不好，决定强制开除我们，说那个人来言语威胁，虽然不是我叫来的，起码跟我也是有关系的，而且还传说我跟那同事有极其复杂的关系，别人才会来车间找那人，因此而要开除我，所以本人有以下几点想咨询第一:公司凭什么有流言来认定我和那同事有极其复杂的关系（公司是否存在侵犯我个人名誉问题）第二:（员工手册）上规定只是小过，而不是开除处理第三:公司执意开除我们，是否有赔偿金第四:公司说我和别人有不正常的关系而开除我，我是否可以向公司要求公开道歉，恢复我名誉,辞退解雇
医药费分割——农村自家建房雇佣基建队，在施工过程中造成人员受伤，医药费用怎么分割。受害人与另外一人是合伙承包人。费用2万至3万。谢谢律师帮助。,工伤事故
织布厂老板至今未支付工资——我妈妈自从过年后在私人织布企业工作，老板到现在工资没有支付，多次索要工资未果，家里急需用钱，怎么办。求帮助。可以曝光这种黑心老板吗？,员工权益
我在国外护照被扣怎么办？——我经朋友介绍以口头约定形式到非洲打工，现在因与雇主不和想回国但是雇主扣了我的护照并提出让我退还所有工资并自己买机票回国，当地大使馆说我人生安全没有受到威胁管不了。我的QQ号码是398159843我现在在马里首都巴马科,员工权益
岗上猝死67岁退休职工——父亲是郑州大学工学院退休职工，又找了个看教学楼的工作他的工作是一天24小时7月22日下午18点40左右猝死在他上班的单位给他买了有平安的保险保险公司说年龄超了了保险公司不赔。父亲的单位赔我妈妈5万元我父亲的单位领导说是属于劳务不按工伤来算请问一下律师我父亲的情况我父亲的单位应赔偿我家多少钱谢谢了,工伤事故
有确凿超时工作量单追偿加班费何故全输？——公司是岛内客运业务。两年中业务量大。又缺A司机。公司不乐意员工请假不易批假更不可能按排休日。我几乎每天跑五个到九个工作单。耗时与跨时十三至二十个小时不等。这种使我常常吃睡都在车上才能应对。当时在干是秉性尽劳尽责，调度室电话工作单不能拒绝，苦忙中企盼明天的明天会少单少活，不料干干盼盼熬出两年。法定日8周40月160.我都翻倍了。王司机13976306337,员工权益
劳动合同未到被解聘如何解决——您好，我朋友在一家单位工作快10年了，合同并没有到期，但是单位通知我朋友被辞退了，这种情况下，能否向单位申请补偿款？,辞退解雇
"广东人来京告状，将光明日报列为被告——我原是武汉华中科大教师。93年因光明日报所载“广东人事厅引进人才”，参加其招聘会来广东工作。用人单位大多直接索取红包，我负担重，不能送。这就无不违约中止调动使我全家进退两难，严重克扣工资福利多年的工资不够办调动送礼，过河拆桥强行驱赶不给补偿，侵犯职称申报权使职称至今不能申报,不给房改房使我老无所居，多种伤害祸及家中老幼。我受害深重，妻离子散、倾家荡产、投诉无门。行政与司法或不作为，或用被告的假话、它人合同强加于我，枉法裁决。我只好来北京告状，为此只好将光明日报列为被告。我希望北京律师支持此诉讼。谢谢!我的电邮：X000567@163.COM",员工权益
工伤保险条例——关于工伤保险咨询：工作时间，工作岗位，突发疾病死亡，或在48小时内经抢救无效导致死亡的，视为工伤。问：（1）48小时以后才死亡，即从第三天后直至很多天以后才死亡，是否视为工伤处理？（2）经抢救后不死亡的，但成为植物人的，是否也能按视为工伤处理？（3）经抢救后不死亡的，也不成为植物人的，但由此产生的医疗费用，是否能视为工伤处理？（4）如上述3条均不能视同工伤处理的，那么应该按照何种规定来处理？谢谢。,工伤事故
单位经济效益不好裁员有两月工资没发——我是厦门万昌医疗器械有限公司的技术部主任汪晓燕今年5月23日公司经营不用好单方辞退员工，但至今有5月份6月份的工资未发给被辞退的员工。切盼权威法律专家的帮助,辞退解雇
求助关于农民工工资问题——我父亲是一名农民工，也算是一个小包工头，每天起早贪黑，辛苦一辈子，由于长时间吸入建筑粉尘，12年患上间质性肺炎(不是癌症的癌症)及其它并发症！母亲和我这个不孝子身体也不好，家庭经济状况不好，家里现在欠了二十多万外债，无力偿还！90年代父亲包的小工程，为当地电力公司下属的，电力器材厂建厂房，该厂目前还欠十几万工程款没结算！家庭条件原因，没钱打请律师…望遇到一位好心律师或其他有能力的人，帮助我父亲要回这批工程款！十几万数目在现在社会不算多，但对我家就是救命稻草！先谢谢好心人啦！,工伤事故
我犯的错误--超市这样对我处罚对的吗——我在超市干了5个月收银员，提前1个月[就是在第4个月时]交辞职报告，因第6个月犯了3次错误，第1个是所收钢币没放进钱箱，放在备用金钱袋里，第2个是顾客给我了一张5毛钱有一点烂的、我放在平时记条码的本子里没放在钱箱里，第3个是我用了一包湿纸巾擦汗，没有先交费，老板对我实行了开除扣除第5’第6个月全额工资、请问老板对我的处罚对吗---请求答复------谢谢,辞退解雇
同事因琐事起纠纷后单位只开出我妈——我妈同事说我妈偷了水瓶，我妈找她理论，同事先动手打了我妈，我妈后来也动手了。公司因此说要开除我妈，开除合法吗？,辞退解雇
我现在被公司辞退能拿到什么补偿——2012年11月进公司上班一直没签订劳动合同，保险从14年8月开始办理，去年约定工资水平6000，年底实际只给了4200，15年8月公司以人员太多要解聘，工资平时是按月打生活费，年底结算，每周工作6天每天8小时，现在辞退我能拿到什么补偿,辞退解雇
司法单位不给工人涨工资，工人如何维权——司法单位不给工人涨工资，工人怎么办？,员工权益
雇佣受伤如何维权——8月初，上班时间操作电动设备，因设备发生意外，使其意外受伤，住院后，老板拿了不点钱后就不在支付，医院开始停药。没有签订劳动合同，没有如何保险，劳动局正在调节，但老板不配合，不路面。现在应如何维权？要怎么去做？,工伤事故
经济赔偿金一审二审都判决不支持——您好！我想得到法律帮助，我与公司没有签订劳动合同，工作5年，公司解散，违法解除劳动关系，但是法院一审二审都判决解除劳动关系，补缴5年社会保险，但是都不支持违法解除劳动关系和支付经济赔偿金的请求，现在我该怎么办？是继续申诉？还是另案申请经济补偿金？或是其他......？,辞退解雇
工地上临时工受伤谁负责——由包工头雇佣的临时工到工地上干活，工人被摔伤且工人的工资是由厂方按照日工资发的，只是由包工头转发给工人，这种事故谁来负责，（该工程包工头与厂方没有书面合同，只是口头约定了每个工人的日工资）,工伤事故
劳动纠纷——在此输入您要咨询的问题或要搜索的关键词！,未知
单位违法用工——单位给我安非全日制结算工资，社保等什么都没有，但我每天工作8小时，月均超过180小时，实际是干的全日制的工作。请问我要怎样维权？,员工权益
返聘员工被解雇能得到什么补偿——律师您好：我原是经县级人事部门和主管局选聘的乡镇合同制事业干部，2005年被解聘了，但解聘后又直接返聘在原单位继续从事原来的工作，一直到现在，乡政府按临时工付我工资。2010年在社保局已按社会自然人办理了退休手续。我从2005年至今已是11个年头了。我想咨询一下：如果乡政府不用我了，按照《劳动合同法》我应该得到什么补偿？,辞退解雇
异地工伤赔偿难怎么办？——我是湖北省的，我父亲今年50岁，去年三月份去新疆私人煤矿工作，结果只工作了三天就遇到了意外事故。3月5日凌晨，煤矿塌方，我父亲被埋三小时，工友把我父亲救出来后，送到医院诊断为脊椎压缩性骨折，住院半个月后又回煤矿养伤。四月份，煤矿停工，六月份法院判定八级伤残，赔偿18万，一直到现在我父亲一分赔偿金都没有拿到。今年四月份，小包工头死掉了，大包工头想把责任推到小包头身上，遂上诉到新疆省乌鲁木齐市中级人民法院。从去年到现在我父亲不能干活，因为是农村的，家里也没有经济收入，也请不起律师了，现在这个案子就这样拖着，我真不知道怎么办才好？,工伤事故
农民工工资拖欠不还该怎么办——工资拖欠5年不还，向其要钱多次不给，并声称没钱，下一次在向其要钱时就玩失踪，我该怎么办？,员工权益
员工离职，关于专业技能培训的费用？——我要离职了，但是单位找我要培训费。我确实参加过单位出资的专业培训，但是单位要我全额赔偿，我感觉这不合法。请问劳动法规定的，到底如何计算赔偿？,辞退解雇
劳务工资拖欠——本人从事建筑行业，所建项目为黑龙江省绥芬河市远东国际商贸中心，受顾于总包单位哈尔滨东方国际建筑公司，（但其实是受顾于个人，该老板挂靠东方国际），已有一年半为开工资，请问该怎么处理,员工权益
我们可以维权吗？——律师们：你们好！我们是农民工，我夫妻两人在长沙浙成套工作了三年多，于五月一九二十七日晚十点半遭到无故开除，事先无任何通知，去年扣我们工资拒不认帐，由于我们当初没有签订合同，工资都是现金结算，上班卡也在老板手中，我们现在只能提供人证明我与该厂的劳动关系，我们可以通过法律来要求该厂对我们进行补偿吗？我的电话号码18973139886。期盼你们的答复，谢谢!,辞退解雇
农民工女性退休——农民工女性到了50岁公司辞退有补偿金吗，同时公司没有予其购买社保。具体情况:合同上是到了5月份就到期了，但是如果要辞退也要提前30天通知，公司没有而是到了六月中旬才说辞退的事，并且也没有马上辞退，而是到了七月一号通知七月二号不要来上班了，这种情况公司要赔偿吗邮箱:1969605203@qq.com,辞退解雇
油漆行车工算不算有毒有害——我本工作干了20多年到了45年纪想退休，但劳动局不给办，讲这不算有毒有害工种,工伤事故
住房公积金——你好和单位终止合同后单位拖欠住房公积金不给缴纳怎么办理,员工权益
想辞职却被批为急辞要扣除工资——我2015年7月13号进厂里工作，一直至今，因为不太适应厂里的条件，想辞工，却被厂里批为急辞，要扣除7天的工资以及500记过处分，请问这种行为合法吗，急辞不是我自己选的，我该怎么办,辞退解雇
试用员工辞职问题——试用员工在厂里工作，想辞职，却被厂里批急辞要扣7天的工资，请问这种行为合法吗,辞退解雇
我想咨询聘任合同事项(就业协议书)——律师：你好，我想咨询聘任合同事项，谢谢。下面我说一下一些具体情况。2013年通过教师省统考考入在编教师，上交了报到证，签了就业协议书，协议书上有盖一个章为：“一、毕业生须在我系统服务至少服务五年以上，服务期间不允许流动。二、毕业生上岗前应取得教师资格，否则本协议自行取消。”就业协议书上的第九条款为：本协议生效后，甲乙双方应全面履行。一方违约，另一方可依法追究其违约责任，并要求赔偿相关损失。第十五条款：本协议自甲乙双方签字之日起生效，甲乙双方签订劳动合同或甲方为乙方办理录（聘）用手续后，本协议终止。到学校报到后，还和学校签了一份某某中学教师聘任合同书。里面的第一条款：受聘人员须长期在甲方工作，如果要调到其他单位，须由学校和集团同意方可调出。我问了我的同学他们到学校并没有再签合同。2014年试用期结束，转正时有上缴一些材料，但是我忘了有填什么了。2015年发放专业技术职务聘任书。里面职务为中学二级教师，任期2015年01月到2016年08月。聘任单位：某某教育局。到今天快工作两年。下面我写一下我想要咨询的问题：1、在这种情况，我可以辞职吗？辞职算违约吗？协议里没有说违约金是多少，我需要交违约金吗？2、递交辞职信是给校长还是教育局，若是不同意怎么办。3、若辞职成功，档案能拿得出来吗？需要把档案转到人才市场里吗？4、若辞职成功后，能否再考事业单位、公务员什么的？已经没有了就业协议书和报到证，怎么办。,未知
已经执行了15年的案子什么时候是个头——五金交电公司欠一职工15年（1985年--2000年）的工资福利待遇等薪酬经邯郸县劳动仲裁、邯郸县法院判决、邯郸市中级人民法院2000年终审到现在已经强制执行15年了一分钱都没有给付希望大家都来看看给指个明道同时想请高人指点上访程序,员工权益
入职未签合同，现在只有工资条，不发工资——在汽车美车会工作，进入公司时未签订合同，现已办理离职手续，就给了工资条，问其要工资，就是一句没钱，我应该需要去哪里维权，需要准备多少东西？,维权方式
工伤报销单位以提供法律依据或案例为条件——我是一在职工作人员，工作压力大，同时需要值班，6月一次值班时，感觉胸口痛，心跳40左右，到医院检查，被诊断为急性心肌坏死，冠心病，做了手术，花费7万多，医保报了4万。单位认为是在岗住院。答应报剩余的住院费及后的药费，但需要一个法律依据或者一个案例来支持。我想请帮助寻找这样一个依据或案例。谢谢,工伤事故
违反和解除劳动合同的经济补偿办法——工资支付暂行规定的赔偿金标准是多少/,劳动合同
赔偿金标准——拖欠工人工资，起诉的时候所要求的赔偿金标准是怎样计算的/,员工权益
劳动法规定每天超过8小时——劳动法规定每天超过8小时的劳动时间如3小时需付加班费吗？,员工权益
"母亲打工19年社保没缴满没退休金——你好！我想咨询一下，我妈是上海外来务工人民我妈今年52周岁,在厂里干了19年，今年厂里说退休了，社保没有缴满十五年，没有退休金，怎么办？厂里以前加班很晚有的时候加班七八个小时。",劳动保险
我交了农保，社保就不交，劳动合同是否有效——交农保不交社保，合同有效吗、,劳动保险
农民工工资——我们在厂子里工作了一两年，工资没有结算完，找不到人了，我们该怎么办啊？我们也没有欠条。我们开始找了劳动局，又找了县政府的信访局。一直在推我们，让我们报案，立案。现在我们找到人了在家呢，我们该找谁啊。帮我们去了解情况啊，让他给我们说法。,员工权益
到缅甸打工死于缅甸，家属怎么办——民工到缅甸打工死于缅甸，家属应怎么寻求补偿？系偷渡，谢谢！,工伤事故
我交了农保，社保就不交，劳动合同是否有效——没交社保的劳动合同是否有效。我自动离职是不是违反合同。有没有补偿金,劳动合同
人事档案丢失。——由于原单位违犯了《档案法》第二十四条第一项之规定，将本人档案丢失，直接导致我现在老年生活没有保障。根据最高人民法院，关于人事档案被原单位丢失后当事人起诉原用人单位补办人事档并赔偿经济损失是否受理的复函，我找了江陵县法律援助中心，可是，段辉忠律师说不属于他管。我一个靠吃国家低保的，一个月235元的低保费，哪有钱去请律师，为此，特请求您们给予帮助！,员工权益
转正但是未签合同被辞退——我于2014年12月15号入职盘龙云海公司，于2015年3月转正，但是后期一直未签正式合同，由于工作原因与上级领导发生纠纷，被公司辞退，我应该如何维护我的利益，公司应该如何赔偿我，已经如果公司以未签合同给补偿我该准备哪些证据要求赔偿求各位律师帮忙解答下~675633717@qq.com,辞退解雇
五险缴纳问题——律师，您好：我们单位属于私有制，单位农户不予以缴纳五险，员工入职前已于单位协商好了，但是每次都会发生农户员工第一个月被缴纳五险，之后要缴纳的话公司又不给缴纳的情况，我很疑惑为什么？因为每次都是明确告知农户不缴纳。,劳动保险
